"","ages","Stimulating","Anxiety_producing","Calming","Love","Blissful","Energetic","Sociable","Charming","Bizarre","Intense","Difficult","Funny","Interesting","Visual","Spiritual","Enhanced_body_feeling","Bodily_discomfort","Enhanced_imagination","Rational","Irritating","Confusing","Fast_paced","Trivial","Long_lasting","Emotional","Constructive","Self_centered","Dangerous","Constructive","Erotic","Worth_it","Sneaky","Too_much","Sobering","Spaced_out","Colorful","Relieving","Insightful","Profound","Mystical","Incredible","Life_changing","Impairing","Subtle","Easy_to_overdoo","Hard_to_resist","Intellectual","Enhances_aesthetics","Digital","Artistic","Enjoyment_of_music","Delight_in_food","substance","times_taken","samples"
"78",23,2,1,-2,0,1,2,2,0,-2,0,-1,-2,0,-1,-1,1,1,-1,2,1,-2,2,0,2,1,2,-1,0,2,-1,1,0,0,0,0,-2,-1,-1,-2,-2,0,1,-1,0,-1,1,2,1,2,-1,1,-2,"D-Amphetamine",4,12
"79",18,-1,2,2,2,2,2,1,2,1,-1,0,2,2,2,2,2,0,2,-2,-2,2,-2,2,0,0,0,0,0,0,1,1,1,0,2,2,2,2,2,2,2,2,2,1,1,2,-2,0,2,1,2,2,2,"Marijuana",7,64
"80",18,1,-1,1,2,2,1,2,1,0,0,-1,2,2,0,0,2,-1,2,1,-1,0,-1,2,-1,0,0,1,-2,0,1,2,1,-2,-2,2,0,2,2,2,0,0,-1,-1,-1,-1,2,0,1,0,1,2,2,"Marijuana",6,64
"81",32,-1,1,1,1,1,0,2,2,-1,-1,1,1,0,-2,0,1,2,-1,-1,1,1,0,0,-1,1,-2,2,2,-2,0,-2,2,0,-2,1,-1,-1,-1,-2,-2,0,0,1,1,2,2,-2,0,-2,-1,1,1,"Alcohol",6,34
"82",18,2,-2,0,0,0,2,1,1,-2,-2,-2,-2,-2,-2,0,0,0,0,1,1,-2,0,0,1,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-2,-2,2,2,0,0,0,1,"Caffeine",7,7
"83",23,2,2,2,2,2,1,-1,0,2,2,2,1,2,2,2,2,1,2,-2,-2,2,1,-2,2,2,1,-2,0,1,1,2,-1,0,-2,1,2,0,2,2,1,2,2,2,-2,0,-1,2,2,1,2,2,-1,"LSD",6,74
"84",23,1,-1,1,2,2,-1,1,1,1,0,0,1,2,2,1,2,1,2,-1,-1,1,0,-1,1,2,0,-1,-1,0,1,2,-1,-1,-2,1,2,-1,0,1,0,1,0,2,-1,0,-1,1,2,-1,2,2,-1,"Psilocybin",4,39
"85",18,2,-2,2,2,2,2,2,2,-2,1,0,0,0,-2,0,2,1,0,2,2,0,2,0,2,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,0,1,0,-2,0,2,-2,0,2,0,0,1,-1,"D-Amphetamine",2,12
"86",21,2,-1,2,2,2,0,1,1,2,2,1,2,1,2,1,1,1,0,0,-2,1,0,0,1,1,1,-2,-2,1,0,2,0,0,-1,1,2,2,2,2,1,2,2,1,-1,2,-2,0,2,1,2,2,2,"4-AcO-DMT",3,3
"87",32,2,1,0,2,2,2,2,2,2,2,0,2,2,2,0,2,0,2,0,-2,1,2,-2,2,2,2,-2,-2,2,-1,2,-2,-2,-2,2,2,2,2,2,2,2,2,1,-2,1,-2,2,2,2,2,2,-2,"LSD",5,74
